model_id,experiment,inference_method,source,access,utterance,state,prob_0_1,bet_0_100,alpha_hat
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,1,1,0,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,1,1,1,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,1,1,2,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,1,1,3,0.75,75.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,1,1,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,1,1,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,1,1,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,1,1,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,0,0.14937321132935025,14.937321,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,1,0.40887878453728715,40.887878,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,2,0.21649386477480614,21.649386,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,3,0.22525413935855654,22.525414,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,2,1,0,0.125,12.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,2,1,1,0.125,12.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,2,1,2,0.125,12.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,2,1,3,0.625,62.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,2,1,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,2,1,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,2,1,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,2,1,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,1,0,0.11624288591524444,11.624289,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,1,1,0.3582519299410203,35.825193,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,1,2,0.2986745129784763,29.867451,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,1,3,0.22683067116525893,22.683067,0.1
